,acquisition_date,acquisition
0,1970-01-01,28
1,1970-01-02,34
2,1970-01-03,27
3,1970-01-04,36
4,1970-01-05,39
5,1970-01-06,33
6,1970-01-07,33
7,1970-01-08,28
8,1970-01-09,35
9,1970-01-10,36
10,1970-01-11,33
11,1970-01-12,24
12,1970-01-13,26
13,1970-01-14,35
14,1970-01-15,28
15,1970-01-16,36
16,1970-01-17,40
17,1970-01-18,33
18,1970-01-19,49
19,1970-01-20,28
20,1970-01-21,38
21,1970-01-22,33
22,1970-01-23,33
23,1970-01-24,32
24,1970-01-25,33
25,1970-01-26,36
26,1970-01-27,34
27,1970-01-28,36
28,1970-01-29,34
29,1970-01-30,33
30,1970-01-31,36
31,1970-02-01,25
32,1970-02-02,28
33,1970-02-03,26
34,1970-02-04,32
35,1970-02-05,27
36,1970-02-06,36
37,1970-02-07,33
38,1970-02-08,29
39,1970-02-09,41
40,1970-02-10,27
41,1970-02-11,28
42,1970-02-12,46
43,1970-02-13,26
44,1970-02-14,24
45,1970-02-15,32
46,1970-02-16,39
47,1970-02-17,32
48,1970-02-18,41
49,1970-02-19,30
50,1970-02-20,23
51,1970-02-21,38
52,1970-02-22,36
53,1970-02-23,25
54,1970-02-24,30
55,1970-02-25,33
56,1970-02-26,30
57,1970-02-27,44
58,1970-02-28,34
59,1970-03-01,36
60,1970-03-02,37
61,1970-03-03,36
62,1970-03-04,36
63,1970-03-05,32
64,1970-03-06,39
65,1970-03-07,33
66,1970-03-08,29
67,1970-03-09,33
68,1970-03-10,31
69,1970-03-11,42
70,1970-03-12,36
71,1970-03-13,33
72,1970-03-14,27
73,1970-03-15,39
74,1970-03-16,36
75,1970-03-17,37
76,1970-03-18,34
77,1970-03-19,24
78,1970-03-20,30
79,1970-03-21,26
80,1970-03-22,30
81,1970-03-23,41
82,1970-03-24,40
83,1970-03-25,47
84,1970-03-26,40
85,1970-03-27,44
86,1970-03-28,48
87,1970-03-29,30
88,1970-03-30,33
89,1970-03-31,40
90,1970-04-01,37
91,1970-04-02,33
92,1970-04-03,36
93,1970-04-04,37
94,1970-04-05,31
95,1970-04-06,26
96,1970-04-07,31
97,1970-04-08,44
98,1970-04-09,35
99,1970-04-10,34
100,1970-04-11,41
101,1970-04-12,41
102,1970-04-13,39
103,1970-04-14,35
104,1970-04-15,38
105,1970-04-16,35
106,1970-04-17,25
107,1970-04-18,36
108,1970-04-19,28
109,1970-04-20,33
110,1970-04-21,33
111,1970-04-22,32
112,1970-04-23,33
113,1970-04-24,29
114,1970-04-25,30
115,1970-04-26,39
116,1970-04-27,32
117,1970-04-28,26
118,1970-04-29,36
119,1970-04-30,23
120,1970-05-01,28
121,1970-05-02,33
122,1970-05-03,34
123,1970-05-04,36
124,1970-05-05,40
125,1970-05-06,35
126,1970-05-07,32
127,1970-05-08,23
128,1970-05-09,34
129,1970-05-10,42
130,1970-05-11,30
131,1970-05-12,31
132,1970-05-13,29
133,1970-05-14,27
134,1970-05-15,38
135,1970-05-16,31
136,1970-05-17,40
137,1970-05-18,22
138,1970-05-19,40
139,1970-05-20,40
140,1970-05-21,30
141,1970-05-22,35
142,1970-05-23,31
143,1970-05-24,28
144,1970-05-25,41
145,1970-05-26,29
